period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,1085893837.0,38683242.0
2021-01,2021,1,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,1055139195.0,27405819.0
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,454702716.0,10989372.0
2021-01,2021,1,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,386370700.0,10347221.0
2021-01,2021,1,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,213029388.0,7024467.0
2021-01,2021,1,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,84069622.0,2124476.0
2021-01,2021,1,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,79518388.0,2668451.0
2021-01,2021,1,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,64292105.0,2397825.0
2021-01,2021,1,1,441,GH,กานา,1E,ทวีปแอฟริกา,42245002.0,1588880.0
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,32050445.0,806458.0
2021-01,2021,1,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,28325561.0,1129637.0
2021-01,2021,1,1,290,IR,อิหร่าน,1A,ทวีปเอเชีย,27208408.0,864960.0
2021-01,2021,1,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,25457797.0,535826.0
2021-01,2021,1,1,300,YE,เยเมน,1A,ทวีปเอเชีย,14027077.0,512454.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,13442689.0,515091.0
2021-01,2021,1,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,11124385.0,385105.0
2021-01,2021,1,1,285,AE,สหรัฐอาหรับเอมิเรตส์,1A,ทวีปเอเชีย,9166582.0,192101.0
2021-01,2021,1,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,7069793.0,316969.0
2021-01,2021,1,1,287,CY,ไซปรัส,1A,ทวีปเอเชีย,4765689.0,113040.0
2021-01,2021,1,1,443,GN,กินี,1E,ทวีปแอฟริกา,4673581.0,168000.0
2021-01,2021,1,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,4614388.0,273817.0
2021-01,2021,1,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,4214938.0,16929859.0
2021-01,2021,1,1,296,SA,ซาอุดีอาระเบีย,1A,ทวีปเอเชีย,4178444.0,175201.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,4093441.0,114122.0
2021-01,2021,1,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,4083669.0,152579.0
2021-01,2021,1,1,455,MR,มอริเตเนีย,1E,ทวีปแอฟริกา,3979101.0,172800.0
2021-01,2021,1,1,372,MX,เม็กซิโก,1C,ทวีปอเมริกาเหนือ,3381097.0,159600.0
2021-01,2021,1,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,3153482.0,73717.0
2021-01,2021,1,1,484,CK,หมู่เกาะดุก,1F,ทวีปออสเตรเลีย,3099400.0,82800.0
2021-01,2021,1,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,2623336.0,43492.0
2021-01,2021,1,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,2384003.0,71751.0
2021-01,2021,1,1,391,JM,จาเมกา,1C,ทวีปอเมริกาเหนือ,2275092.0,64656.0
2021-01,2021,1,1,266,BN,บรูไน,1A,ทวีปเอเชีย,2251357.0,79165.0
2021-01,2021,1,1,468,SL,เซียร์ราลีโอน,1E,ทวีปแอฟริกา,2029342.0,65362.0
2021-01,2021,1,1,363,LV,ลัตเวีย,1B,ทวีปยุโรป,1944947.0,56520.0
2021-01,2021,1,1,295,QA,กาตาร์,1A,ทวีปเอเชีย,1830766.0,30005.0
2021-01,2021,1,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,1698941.0,166384.0
2021-01,2021,1,1,436,DZ,แอลจีเรีย,1E,ทวีปแอฟริกา,1653774.0,37680.0
2021-01,2021,1,1,281,MV,มัลดีฟส์,1A,ทวีปเอเชีย,1611884.0,56792.0
2021-01,2021,1,1,323,IT,อิตาลี,1B,ทวีปยุโรป,1514848.0,52224.0
2021-01,2021,1,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,1470382.0,44137.0
2021-01,2021,1,1,477,UG,ยูกันดา,1E,ทวีปแอฟริกา,1311314.0,58896.0
2021-01,2021,1,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,1298602.0,37751.0
2021-01,2021,1,1,346,SI,สโลวีเนีย,1B,ทวีปยุโรป,1173793.0,18840.0
2021-01,2021,1,1,294,OM,โอมาน,1A,ทวีปเอเชีย,915252.0,30157.0
2021-01,2021,1,1,330,AL,แอลเบเนีย,1B,ทวีปยุโรป,889566.0,30844.0
2021-01,2021,1,1,351,UA,ยูเครน,1B,ทวีปยุโรป,873681.0,18058.0
2021-01,2021,1,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,835613.0,12849.0
2021-01,2021,1,1,289,IQ,อิรัก,1A,ทวีปเอเชีย,807445.0,17280.0
2021-01,2021,1,1,470,SO,โซมาเลีย,1E,ทวีปแอฟริกา,767148.0,21802.0
2021-01,2021,1,1,474,TG,โตโก,1E,ทวีปแอฟริกา,744700.0,22147.0
2021-01,2021,1,1,417,PE,เปรู,1D,ทวีปอเมริกาใต้,645787.0,21208.0
2021-01,2021,1,1,430,CG,คองโก,1E,ทวีปแอฟริกา,632823.0,2970.0
2021-01,2021,1,1,422,VE,เวเนซุเอลา,1D,ทวีปอเมริกาใต้,572140.0,7679.0
2021-01,2021,1,1,337,GE,จอร์เจีย,1A,ทวีปเอเชีย,478458.0,19051.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,420674.0,24721.0
2021-01,2021,1,1,456,MU,มอริเชียส,1E,ทวีปแอฟริกา,403275.0,38017.0
2021-01,2021,1,1,343,PL,โปแลนด์,1B,ทวีปยุโรป,379506.0,12874.0
2021-01,2021,1,1,283,PK,ปากีสถาน,1A,ทวีปเอเชีย,319745.0,1300.0
2021-01,2021,1,1,286,BH,บาห์เรน,1A,ทวีปเอเชีย,260063.0,758.0
2021-01,2021,1,1,366,NO,นอร์เวย์,1B,ทวีปยุโรป,205289.0,3010.0
2021-01,2021,1,1,278,BT,ภูฎาน,1A,ทวีปเอเชีย,101000.0,1875.0
2021-01,2021,1,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,71282.0,65573.0
2021-01,2021,1,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,66210.0,77212.0
2021-01,2021,1,1,463,RE,เรอูนียง,1E,ทวีปแอฟริกา,57018.0,327.0
2021-01,2021,1,1,440,GA,กาบอง,1E,ทวีปแอฟริกา,40620.0,1440.0
2021-01,2021,1,1,489,GU,กวม,1F,ทวีปออสเตรเลีย,15666.0,600.0
2021-01,2021,1,1,292,KW,คูเวต,1A,ทวีปเอเชีย,3009.0,43.0
2021-01,2021,1,1,505,VU,วานูอาตู,1F,ทวีปออสเตรเลีย,1788.0,55.0
2021-02,2021,2,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,884911642.0,31657353.0
2021-02,2021,2,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,914830631.0,23318679.0
2021-02,2021,2,1,302,CN,จีน,1A,ทวีปเอเชีย,513985700.0,17931286.0
2021-02,2021,2,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,419843712.0,12055239.0
2021-02,2021,2,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,253521868.0,8116616.0
2021-02,2021,2,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,121648241.0,3084404.0
2021-02,2021,2,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,92852835.0,3113502.0
2021-02,2021,2,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,65943142.0,2302893.0
2021-02,2021,2,1,441,GH,กานา,1E,ทวีปแอฟริกา,55749280.0,2120395.0
