period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,3714951059.0,128219394.0,3714951059.0,128219394.0
2021-02,2021,2,1,3580932259.0,121203970.0,7295883318.0,249423364.0
2021-03,2021,3,1,4776060395.0,178356789.0,12071943713.0,427780153.0
2021-04,2021,4,2,4559829929.0,177130062.0,16631773642.0,604910215.0
2021-05,2021,5,2,4536300802.0,187890722.0,21168074444.0,792800937.0
2021-06,2021,6,2,4804747314.0,163882128.0,25972821758.0,956683065.0
2021-07,2021,7,3,3918432491.0,155618093.0,29891254249.0,1112301158.0
2021-08,2021,8,3,3477103591.0,123812255.0,33368357840.0,1236113413.0
2021-09,2021,9,3,3342170606.0,233363692.0,36710528446.0,1469477105.0
2021-10,2021,10,4,3549071395.0,132713666.0,40259599841.0,1602190771.0
2021-11,2021,11,4,3730440098.0,169349332.0,43990039939.0,1771540103.0
2021-12,2021,12,4,3985636538.0,135403051.0,47975676477.0,1906943154.0
2022-01,2022,1,1,3837585054.0,136882564.0,3837585054.0,136882564.0
2022-02,2022,2,1,2160159569.0,69036806.0,5997744623.0,205919370.0
2022-03,2022,3,1,2154241653.0,82752064.0,8151986276.0,288671434.0
2022-04,2022,4,2,1897804561.0,69038052.0,10049790837.0,357709486.0
2022-05,2022,5,2,2197128645.0,81004486.0,12246919482.0,438713972.0
2022-06,2022,6,2,1952092340.0,117971797.0,14199011822.0,556685769.0
2022-07,2022,7,3,2031804270.0,74908617.0,16230816092.0,631594386.0
2022-08,2022,8,3,1892703575.0,55186420.0,18123519667.0,686780806.0
2022-09,2022,9,3,2028733743.0,72582312.0,20152253410.0,759363118.0
2022-10,2022,10,4,1890067075.0,73156105.0,22042320485.0,832519223.0
2022-11,2022,11,4,1929755329.0,66704046.0,23972075814.0,899223269.0
2022-12,2022,12,4,1777054068.0,58612313.0,25749129882.0,957835582.0
2023-01,2023,1,1,2088681922.0,72033846.0,2088681922.0,72033846.0
2023-02,2023,2,1,2061142944.0,72554811.0,4149824866.0,144588657.0
2023-03,2023,3,1,2464179451.0,94119580.0,6614004317.0,238708237.0
2023-04,2023,4,2,2138969805.0,104159848.0,8752974122.0,342868085.0
2023-05,2023,5,2,2760958764.0,81007913.0,11513932886.0,423875998.0
2023-06,2023,6,2,2425037128.0,83149416.0,13938970014.0,507025414.0
2023-07,2023,7,3,2521782440.0,76531295.0,16460752454.0,583556709.0
2023-08,2023,8,3,2260927535.0,65829664.0,18721679989.0,649386373.0
2023-09,2023,9,3,2191038311.0,62257147.0,20912718300.0,711643520.0
2023-10,2023,10,4,2248932097.0,63547575.0,23161650397.0,775191095.0
2023-11,2023,11,4,2168029469.0,60759319.0,25329679866.0,835950414.0
2023-12,2023,12,4,2023803838.0,57412487.0,27353483704.0,893362901.0
2024-01,2024,1,1,2206419931.0,62604454.0,2206419931.0,62604454.0
2024-02,2024,2,1,2444234247.0,68488930.0,4650654178.0,131093384.0
2024-03,2024,3,1,2737619561.0,74864668.0,7388273739.0,205958052.0
2024-04,2024,4,2,2578838368.0,70002114.0,9967112107.0,275960166.0
2024-05,2024,5,2,2882093858.0,83731526.0,12849205965.0,359691692.0
2024-06,2024,6,2,2541629663.0,71498845.0,15390835628.0,431190537.0
2024-07,2024,7,3,2442013877.0,84523582.0,17832849505.0,515714119.0
2024-08,2024,8,3,2402468991.0,64325857.0,20235318496.0,580039976.0
2024-09,2024,9,3,2285050608.0,61802153.0,22520369104.0,641842129.0
2024-10,2024,10,4,2205582478.0,61306727.0,24725951582.0,703148856.0
2024-11,2024,11,4,2338104253.0,63290568.0,27064055835.0,766439424.0
2024-12,2024,12,4,2430266080.0,65601261.0,29494321915.0,832040685.0
2025-01,2025,1,1,1951835682.0,52999508.0,1951835682.0,52999508.0
2025-02,2025,2,1,2196238981.0,59911182.0,4148074663.0,112910690.0
2025-03,2025,3,1,2590315618.0,68475882.0,6738390281.0,181386572.0
2025-04,2025,4,2,2476191883.0,66151348.0,9214582164.0,247537920.0
2025-05,2025,5,2,2701101478.0,77756375.0,11915683642.0,325294295.0
2025-06,2025,6,2,2494499182.0,64292132.0,14410182824.0,389586427.0
2025-07,2025,7,3,1815230374.0,47884508.0,16225413198.0,437470935.0
2025-08,2025,8,3,2071704828.0,53685058.0,18297118026.0,491155993.0
2025-09,2025,9,3,1847039952.0,56626691.0,20144157978.0,547782684.0
2025-10,2025,10,4,1818299224.0,61408314.0,21962457202.0,609190998.0
2025-11,2025,11,4,1782024888.0,46669740.0,23744482090.0,655860738.0
2025-12,2025,12,4,1777844781.0,65330246.0,25522326871.0,721190984.0
2026-01,2026,1,1,1538895935.0,43281099.0,1538895935.0,43281099.0
2026-02,2026,2,1,1688646960.0,45353253.0,3227542895.0,88634352.0
2026-03,2026,3,1,2220430960.0,69177832.0,5447973855.0,157812184.0
2026-04,2026,4,2,1984792928.0,52787493.0,7432766783.0,210599677.0
2026-05,2026,5,2,1915007579.0,54499995.0,9347774362.0,265099672.0
